Identifier,Module_Test1,Module_Test2,Type,Content Domain,Grammar Level,Subdomains,Location,Recommended
i00120,,2B,MR,A,2,IV,-0.678,OK
i00121,3B,2B,MC,B,4,II,-0.315,OK
i00122,,,MC,B,2,II,-1.521,OK
i00123,,2B,MC,B,1,II,0.42,OK
i00124,,,MR,C,4,II,-1.339,OK
i00125,,2B,MR,C,3,II,0.454,OK
i00126,,,MC,D,2,II,-0.512,OK
i00127,,,MC,E,4,II,0.212,OK
i00128,,2B,MC,D,1,II,0.591,OK
i00129,,,MR,A,4,II,1.863,OK
i00130,,2B,Sequence,E,3,II,0.625,OK
i00131,,2B,MC,A,3,II,1.253,OK
i00132,,2B,MC,B,2,V,1.682,OK
i00136,,2C,MC,C,4,V,-3.029,OK
i00137,,2C,MR,D,2,V,-2.477,OK
i00138,,2C,MC,E,4,V,-1.322,OK
i00139,3B,2C,MR,C,2,II,-2.155,OK
i00140,3C,3C,MC,E,4,III,-3.572,OK
i00141,,2C,MC,A,4,V,-1.55,OK
i00142,,2C,MC,B,3,II,-1.306,OK
i00143,3B,2C,MC,D,4,II,-1.49,OK
i00144,,2C,MR,C,1,II,-1.271,OK
i00145,3B,2C,MC,E,2,II,-1.106,OK
i00146,,2C,MC,D,3,II,-1.067,OK
i00147,,2C,MC,E,1,II,-1.012,OK
i00148,,,MC,B,3,IV,-0.421,OK
i00149,3C,,MC,A,1,V,-3.525,OK
i00150,,3A,MC,A,1,II,1.592,OK
i00151,3C,3C,MC,A,4,III,-3.26,OK
i00152,,3A,MR,B,4,V,1.803,OK
i00153,,3A,MR,C,2,V,1.966,OK
i00154,3A,3A,MC,A,3,IV,2.285,OK
i00155,3A,3A,Match,B,2,II,2.449,OK
i00156,,3A,MR,D,4,V,2.93,OK
i00157,,3A,MR,E,2,V,2.955,OK
i00158,3A,3A,Sequence,C,4,II,2.958,OK
i00159,,3A,MR,A,2,V,3.349,OK
i00160,3A,3A,Sequence,D,2,II,3.395,OK
i00161,,3A,MR,B,1,III,4.245,OK
i00162,,3A,MR,C,3,III,4.886,OK
i00166,,3B,MC,D,1,III,-0.324,OK
i00167,3C,,MC,B,4,III,-3.157,OK
i00168,,3B,MR,E,3,III,-1.952,OK
i00170,,3B,MR,A,3,III,-0.763,OK
i00171,,3B,Sequence,B,2,I,-0.047,OK
i00172,,3B,MR,C,4,I,0.036,OK
i00173,,3B,MC,D,2,I,0.314,OK
i00174,,3B,MC,E,4,I,-0.016,OK
i00175,,3B,MC,A,4,I,0.641,OK
i00176,,3B,MR,B,3,III,1.065,OK
i00178,,3B,Match,C,1,III,1.281,OK
i00179,2A,3B,MC,C,4,V,1.282,OK
i00180,,3B,MC,D,3,III,1.836,OK
i00184,3C,3C,MC,B,3,V,-2.689,OK
i00185,3C,,MC,C,2,III,-2.499,OK
i00186,3C,3C,MC,C,1,V,-2.447,OK
i00187,3C,2C,MC,C,4,III,-1.836,OK
i00188,2C,3C,MC,D,3,III,-3.189,OK
i00189,,3C,MC,E,1,III,-3.127,OK
i00190,3C,,MC,D,4,III,-1.257,OK
i00191,2B,3C,MR,E,2,V,-2.381,OK
i00192,,3C,MC,A,1,III,-2.294,OK
i00193,,3C,MC,B,4,I,-2.4,OK
i00194,,3C,MC,C,2,I,-2.108,OK
i00195,2C,3C,MC,E,1,III,-1.456,OK
i00196,,,Sequence,C,1,IV,1.009,OK
i00197,,,MC,D,3,IV,1.419,OK
i00198,,,MR,E,1,IV,-0.62,OK
i00199,,,MC,A,1,IV,-1.492,OK
i00200,,,MC,B,4,II,-0.066,OK
i00201,,,MC,C,2,II,0.988,OK
i00202,,,MC,D,4,II,1.639,OK
i00203,,,Match,E,2,II,3.045,OK
i00204,,,MC,A,2,II,-1.165,OK
i00205,,,MC,B,1,V,-3.229,OK
i00206,,,MC,C,3,V,0.531,OK
i00207,,,Match,D,1,V,-0.326,OK
i00208,,,MC,E,3,V,-0.735,OK
i00209,,,MR,A,3,V,-1.047,OK
i00210,,,MC,B,2,III,0.365,OK
i00211,,,MC,C,4,III,1.17,OK
i00212,,,MC,D,2,III,1.906,OK
i00213,,,MR,E,4,III,-0.332,OK
i00214,,,MR,A,4,III,-3.324,OK
i00215,,,Sequence,B,3,V,-0.358,OK
i00216,,,MC,C,1,V,1.278,OK
i00217,,,MC,D,3,V,1.667,OK
i00218,,,MC,E,1,V,2.216,OK
i00219,,,MC,A,1,V,1.332,OK
i00220,,,MC,B,4,III,0.626,OK
i00221,,,MC,C,2,III,-0.466,OK
i00222,,,MC,D,4,III,-1.302,OK
i00223,,,MC,E,2,III,-0.008,OK
i00224,,,Sequence,A,2,III,0.774,OK
i00225,,,MR,B,1,I,2.458,OK
i00226,,,MC,C,3,I,0.111,OK
i00227,,,MC,D,1,I,0.46,OK
i00228,,,MR,E,3,I,-1.842,OK
i00229,,,MR,A,3,I,0.469,OK
i00230,,,MR,B,2,IV,-0.944,OK
i00231,,,MR,C,4,IV,0.678,OK
i00232,,,MR,D,2,IV,0.594,OK
i00233,,,MC,E,4,IV,-1.324,OK
i00234,,,MC,A,4,IV,-0.69,OK
i00235,,,MC,B,3,I,-1.148,OK
i00236,,,MR,C,1,I,-1.328,OK
i00237,,,MR,D,3,I,-2.483,OK
i00238,,,MC,E,1,I,1.18,OK
i00239,,,MC,A,1,I,1.448,OK
i00240,,,MC,B,4,IV,-0.629,OK
i00241,,,MC,C,2,IV,-1.372,OK
i00242,,,MR,D,4,IV,1.586,OK
i00243,,,MR,E,2,IV,-0.091,OK
i00244,,,MR,A,2,IV,4.184,OK
i00245,,,MC,B,1,II,1.155,OK
i00246,,,MC,C,3,II,-0.859,OK
i00247,,,MR,D,1,II,2.686,OK
i00248,,,MR,E,3,II,-1.562,OK
i00249,,,MR,A,3,II,4.871,OK
i00250,,,MC,B,2,V,1.536,OK
i00251,,,MC,C,4,V,-2.355,OK
i00252,,,MC,D,2,V,-1.052528181,Yes
i00253,,,MC,E,4,V,0.072197499,Yes
i00254,,,MC,A,4,V,-2.209114652,Yes
i00255,,,MC,B,3,II,-2.301813636,Yes
i00256,,,MC,C,1,II,0.72601958,Yes
i00257,,,MC,D,3,II,0.321752232,Yes
i00258,,,MC,E,1,II,-2.823088724,Yes
i00259,,,MC,A,1,II,-1.001719498,Yes
i00260,,,MR,B,4,V,-2.782486414,Yes
i00261,,,MC,C,2,V,-1.567364827,Yes
i00262,,,MC,D,4,V,-4.204218336,Yes
i00263,,,MC,E,2,V,2.444373234,Yes
i00264,,,MC,A,2,V,1.212489664,Yes
i00265,,,MC,B,1,III,-3.345162914,Yes
i00266,,,MC,C,3,III,-1.873163009,Yes
i00267,,,MC,D,1,III,0.588936456,Yes
i00268,,,MC,E,3,III,-3.649163504,*
i00269,,,MC,A,3,III,-2.152,OK
i00272,,,MC,B,2,I,-0.171,OK
i00274,,,MC,C,4,I,-0.782,review
i00275,,,MR,D,2,I,-0.529,review
i00276,,,MC,E,4,I,-1.619,review
i00277,,,MC,A,4,I,-0.844,OK
i00278,,,MC,B,3,III,-0.377,OK
i00279,,,MR,C,1,III,3.929,OK
i00280,,,MR,D,3,III,0.872,OK
i00281,,,Match,E,1,III,0.727,OK
i00282,,,MC,A,1,III,-1.744,review
i00283,,,MC,B,4,I,0.171,OK
i00284,,,MC,C,2,I,-0.787,OK
i00285,,,MR,D,4,I,0.372,OK
i00286,,,MC,E,2,I,0.973,review
i00287,,,MR,A,2,I,-0.971,review
i00288,,,MC,B,1,IV,-0.269,OK
i00289,,,MC,C,3,IV,0.444,OK
i00290,,,MR,D,1,IV,2.309,OK
i00291,,,MC,E,3,IV,0.243,OK
i00292,,,MC,A,3,IV,-0.909,OK
i00293,,,MC,B,2,II,-0.968,OK
i00294,,,MC,C,4,II,-0.628,OK
i00295,,,MC,D,2,II,-0.198,OK
i00296,,,MR,E,4,II,1.111,review
i00297,,,MC,A,4,II,-0.555,OK
i00298,,,MC,B,3,IV,-1.118,review
i00299,,,MR,C,1,IV,-0.77,OK
i00301,,,MC,D,3,IV,-0.128,review
i00303,,,MR,E,1,IV,-0.488,OK
i00304,,,MR,A,1,IV,-0.283,OK
i00305,,,MC,B,4,II,1.046,OK
i00306,,,MC,C,2,II,-0.094,OK
i00307,,,MC,D,4,II,0.31,OK
i00308,,,MC,E,2,II,-0.542,review
i00309,,,MC,A,2,II,-0.389,review
i00310,,,MC,B,1,V,0.051,OK
i00311,,,MC,C,3,V,0.464,OK
i00312,,,MR,D,1,V,2.683,OK
i00313,,,MC,E,3,V,0.19,review
i00314,,,MC,A,3,V,0.337,OK
i00315,,,MC,B,2,III,0.824,review
i00316,,,MR,C,4,III,1.318,OK
i00317,,,MC,D,2,III,1.402,OK
i00318,,,MC,E,4,III,-1.789,review
i00319,,,MC,A,4,III,0.799,OK
i00320,,,MC,B,3,V,-0.006,OK
i00321,,,MC,C,1,V,0.135,OK
i00322,,,MR,D,3,V,1.79,OK
i00323,,,MR,E,1,V,3.7,OK
i00325,,,Match,A,1,V,-0.114,review
i00326,,,MC,B,4,III,2.689,review
i00327,,,MR,C,2,III,0.637,OK
i00328,,,MC,D,4,III,0.093,review
i00329,,,MC,E,2,III,0.285,review
i00330,,,MC,A,2,III,-0.254,OK
i00331,,,MC,B,1,I,-0.192,OK
i00332,,,MC,C,3,I,-1.398,OK
i00333,,,Match,D,1,I,-0.621,review
i00334,,,MC,E,3,I,-1.806,OK
i00335,,,MC,A,3,I,-0.686,review
i00336,,,MC,B,2,IV,1.762,review
i00337,,,MC,C,4,IV,0.154,OK
i00338,,,MC,D,2,IV,1.428,OK
i00339,,,MC,E,4,IV,0.429,review
i00340,,,Match,A,4,IV,1.372,OK
i00341,,,MC,B,3,I,-0.251,OK
i00342,,,MC,C,1,I,-1.365,OK
i00343,,,MC,D,3,I,-0.68,OK
i00344,,,MR,E,1,I,6.917,OK
i00345,,,MC,A,1,I,1.045,OK
i00346,,,MC,B,4,IV,-1.321,OK
i00347,,,MC,C,2,IV,1.196,OK
i00348,,,MC,D,4,IV,-0.714,review
i00349,,,MC,E,2,IV,-1.284,review
i00350,,,MC,A,2,IV,0.05,OK
i00351,,,MC,B,1,II,-0.791,review
i00352,,,MC,C,3,II,1.253,review
i00353,,,MC,D,1,II,-1.269,OK
i00354,,,MC,E,3,II,1.074,review
i00355,,,MC,A,3,II,0.019,OK
i00356,,,MC,B,2,V,-0.063,review
i00357,,,MR,C,4,V,0.601,review
i00358,,,MC,D,2,V,0.678,review
i00359,,,MC,E,4,V,-0.217,OK
i00360,,,MR,A,4,V,3.691,OK
i00361,,,Match,B,3,II,1.362,OK
i00362,,,MC,C,1,II,1.477,OK
i00363,,,MR,D,3,II,-0.705,OK
i00364,,,MC,E,1,II,1.246,review
i00365,,,MC,A,1,II,0.93,OK
i00367,,,MC,B,4,V,0.525,OK
i00368,,,MC,C,2,V,-0.403,OK
i00369,,,MC,D,4,V,-0.131,review
i00371,,,MC,E,2,V,0.08,review
i00372,,,MC,A,2,V,-0.196,OK
i00373,,,MC,B,1,III,0.374,OK
i00374,,,MC,C,3,III,0.132,review
i00375,,,MC,D,1,III,-0.536,OK
i00376,,,MC,E,3,III,1.428,OK
i00377,,,MC,A,3,III,-0.717,review
i00378,,,MC,B,2,I,1.214,OK
i00379,,,MC,C,4,I,-0.219,OK
i00380,,,MC,D,2,I,0.551,OK
i00381,,,MR,E,4,I,0.637,OK
i00382,,,MC,A,4,I,1.639,OK
i00383,,,MR,B,3,III,0.412,OK
i00384,,,MC,C,1,III,-0.568,OK
i00385,,,MC,D,3,III,-0.633,review
i00389,,,MC,E,1,III,0.32,OK
i00391,,,MR,A,1,III,0.801,OK
i00392,,,MC,B,4,I,-0.433,OK
i00393,,,MC,C,2,I,-0.278,review
i00394,,,MC,D,4,I,-0.508,OK
i00395,,,MC,E,2,I,1.006,OK
i00397,,,MR,A,2,I,-0.571,OK
i00398,,,MR,B,1,IV,-0.375,OK
i00399,,,MC,C,3,IV,3.201,OK
i00400,,,MR,D,1,IV,-0.66,OK
i00401,,,MC,E,3,IV,0.04,OK
i00402,,,MC,A,3,IV,-2.061,review
i00403,,,MR,B,2,II,-0.846,OK
i00404,,,MR,C,4,II,-0.853,OK
i00405,,,MR,D,2,II,3.279,OK
i00406,,,MC,E,4,II,1.198,review
i00407,,,MC,A,4,II,-2.711,OK
i00408,,,MC,B,3,IV,-0.077,review
i00409,,,MC,C,1,IV,-1.321,review
i00410,,,MC,D,3,IV,0.623,review
i00411,,,MR,E,1,IV,-0.494,OK
i00412,,,MR,A,1,IV,0.079,OK
i00413,,,MC,B,4,II,-0.149,OK
i00414,,,MC,C,2,II,-0.63,review
i00415,,,MC,D,4,II,1.343,review
i00416,,,MC,E,2,II,0.759,review
i00417,,,MC,A,2,II,1.999,review
i00418,,,MC,B,1,V,-0.118,review
i00419,,,MC,C,3,V,-1.219,OK
i00420,,,MC,D,1,V,-0.679,review
i00421,,,MR,E,3,V,2.799,OK
i00422,,,MC,A,3,V,-1.914,OK
i00423,,,MC,B,2,III,-0.604,OK
i00424,,,MR,C,4,III,0.769,OK
i00425,,,MC,D,2,III,-0.975,OK
i00426,,,MC,E,4,III,-1.461,OK
i00428,,,MC,A,4,III,-1.888,review
i00429,,,MC,B,3,V,-1.406,review
i00430,,,MC,C,1,V,-0.28,review
i00431,,,MC,D,3,V,-0.723,review
i00432,,,MR,E,1,V,-1.102,OK
i00433,,,MC,A,1,V,-2.489,review
i00434,,,MC,B,4,III,-0.383,OK
i00435,,,MC,C,2,III,-2.08,OK
i00436,,,MR,D,4,III,-1.092,OK
i00437,,,MR,E,2,III,-0.545,OK
i00438,,,MC,A,2,III,2.105,OK
i00439,,,MC,B,1,I,0.855,OK
i00440,,,Match,C,3,I,4.985,OK
i00441,,,MR,D,1,I,-0.002,review
i00442,,,MR,E,3,I,0.153,OK
i00443,,,Sequence,A,3,I,0.481,OK
i00444,,,MC,B,2,IV,0.495,review
i00445,,,MC,C,4,IV,-0.151,OK
i00446,,,MC,D,2,IV,1.126,OK
i00447,,,MC,E,4,IV,0.491,OK
i00448,,,MR,A,4,IV,5.109,OK
i00449,,,MC,B,3,I,0.254,review
i00450,,,Match,C,1,I,2.544,OK
i00451,,,MC,D,3,I,-0.907,review
i00452,,,MC,E,1,I,0.452,OK
i00453,,,MC,A,1,I,-0.322,OK
i00454,,,MR,B,4,IV,6.269,OK
i00455,,,MC,C,2,IV,-0.189,review
i00456,,,MC,D,4,IV,0.34,OK
i00457,,,MC,E,2,IV,1.961,review
i00458,,,MC,A,2,IV,-0.954,OK
i00460,,,MC,B,1,II,1.623,OK
i00461,,,MC,C,3,II,-0.48,OK
i00462,,,MC,D,1,II,0.095,review
i00463,,,MC,E,3,II,-0.167,OK
i00464,,,MC,A,3,II,-1.239,OK
i00465,,,MC,B,2,V,0.486,review
i00466,,,MC,C,4,V,1.249,OK
i00467,,,MC,D,2,V,0.746,review
i00468,,,MC,E,4,V,-0.991,OK
i00469,,,MC,A,4,V,-0.724,OK
i00470,,,MC,B,3,II,0.13,OK
i00471,,,MC,C,1,II,0.304,OK
i00472,,,MC,D,3,II,0.197,review
i00473,,,MC,E,1,II,1.166,OK
i00474,,,MR,A,1,II,5.123,OK
i00475,,,MC,B,4,V,-0.264,OK
i00476,,,MC,C,2,V,1.344,OK
i00477,,,MR,D,4,V,0.808,OK
i00478,,,MC,E,2,V,-0.692,OK
i00479,,,Match,A,2,V,2.777,OK
i00481,,,MC,B,1,III,-1.246,OK
i00482,,,MC,C,3,III,-1.76,review
i00483,,,MR,D,1,III,3.106,OK
i00485,,,MC,E,3,III,0.13465029,Yes
i00486,,,MR,A,3,III,-1.086532347,Yes
i00487,,,Match,B,2,I,-1.06168723,Yes
i00488,,,MC,C,4,I,0.640329783,Yes
i00489,,,MR,D,2,I,0.659182265,Yes
i00490,,,MC,E,4,I,2.307697134,Yes
i00491,,,MC,A,4,I,1.081391452,Yes
i00492,,,Match,B,3,III,1.125681729,Yes
i00493,,,MC,C,1,III,0.448343404,Yes
i00494,,,MR,D,3,III,0.986295933,Yes
i00495,,,MR,E,1,III,1.970279865,Yes
i00496,,,MC,A,1,III,2.462054326,Yes
i00497,,,MR,B,4,I,-1.771437932,Yes
i00498,,,MR,C,2,I,-1.375770941,Yes
i00499,,,MR,D,4,I,2.181560866,Yes
i00500,,,MR,E,2,I,-1.118927915,Yes
i00501,,,MC,A,2,I,-0.804853279,Yes
i00502,,,MC,B,1,IV,-2.977542962,Yes
i00503,,,MC,C,3,IV,1.775615597,Yes
i00504,,,MR,D,1,IV,0.368399353,Yes
i00505,,,MR,E,3,IV,1.478568228,Yes
i00506,,,MC,A,3,IV,-3.686701209,*
